"Link","Manufacturer","Name","Author","Date","Connection","Features","Gammu-Version"
"http://cihar.com/gammu/phonedb/nokia/3233/","Nokia","6234","","Thu, 24 Sep 2009 01:05:07 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3232/","Nokia","6234","","Thu, 24 Sep 2009 01:03:20 +0200","bluephonet","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/nokia/3231/","Nokia","6234","","Thu, 24 Sep 2009 00:57:54 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3230/","Nokia","N95","","Thu, 24 Sep 2009 00:10:51 +0200","fbus","",""
"http://cihar.com/gammu/phonedb/samsung/3229/","Samsung","SGH-E720","umgaenglicher_typ","Wed, 23 Sep 2009 00:24:37 +0200","blueat","info,sms,phonebook,filesystem","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3228/","Nokia","6100","z0ny","Tue, 22 Sep 2009 17:48:31 +0200","at115200","info,sms","Gammu 1.26.1"
"http://cihar.com/gammu/phonedb/option/3227/","Option","GTM380","","Tue, 22 Sep 2009 13:18:36 +0200","at115200","info,sms,phonebook",""
"http://cihar.com/gammu/phonedb/motorola/3226/","Motorola","GTM380","G.Sz.","Tue, 22 Sep 2009 13:15:03 +0200","at115200","sms,phonebook","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/huawei/3225/","Huawei","k3520","Norbert de Rooy","Mon, 21 Sep 2009 20:36:43 +0200","at","info,sms,phonebook","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/htc/3224/","HTC","p 3300","","Sun, 20 Sep 2009 20:03:07 +0200","at","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms",""
"http://cihar.com/gammu/phonedb/htc/3223/","HTC","p 3300","","Sun, 20 Sep 2009 19:59:25 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3222/","Nokia","5100","McGreg","Sun, 20 Sep 2009 18:41:35 +0200","dku5fbus","info,phonebook,calendar,todo","Gammu 0.29"
"http://cihar.com/gammu/phonedb/sony-ericsson/3221/","Sony Ericsson","W580i/W580c","Sampath","Sun, 20 Sep 2009 18:27:39 +0200","at","info,phonebook","Gammu 1.26.0"
"http://cihar.com/gammu/phonedb/sagem/3220/","Sagem","myX6","","Sun, 20 Sep 2009 14:21:22 +0200","","",""
"http://cihar.com/gammu/phonedb/sony-ericsson/3219/","Sony Ericsson","c702 AAD-3052081-BV","benico","Sat, 19 Sep 2009 23:29:38 +0200","at","sms,phonebook","Gammu 1.15.0"
"http://cihar.com/gammu/phonedb/lg/3218/","LG","KE970","","Sat, 19 Sep 2009 21:39:09 +0200","","",""
"http://cihar.com/gammu/phonedb/sony-ericsson/3217/","Sony Ericsson","K550i/K550c","Гена","Sat, 19 Sep 2009 11:35:17 +0200","at","info,sms,phonebook,calendar,todo,filesystem","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3216/","Sony Ericsson","W200i/W200c","scholli","Sat, 19 Sep 2009 11:33:53 +0200","at115200","info,sms,phonebook,enhancedphonebook,calendar,todo,logo,ringtone","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3215/","Nokia","6820","reaper","Sat, 19 Sep 2009 02:56:26 +0200","bluephonet","info,sms,phonebook,calendar,todo,filesystem","Gammu 1.24.0"
"http://cihar.com/gammu/phonedb/sony-ericsson/3214/","Sony Ericsson","W995","RDuke","Fri, 18 Sep 2009 21:34:08 +0200","blueat","info,phonebook,enhancedphonebook,calendar","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3213/","Sony Ericsson","K750i/K750c","Julian Old","Fri, 18 Sep 2009 20:13:24 +0200","blueat","info,phonebook","Gammu 1.17.0"
"http://cihar.com/gammu/phonedb/nokia/3212/","Nokia","E51","N. Sridhar","Thu, 17 Sep 2009 18:01:39 +0200","at115200","info","Gammu 1.12.0"
"http://cihar.com/gammu/phonedb/nokia/3211/","Nokia","6101","Christian Ronquillo","Thu, 17 Sep 2009 15:07:39 +0200","irdaphonet","info,sms","Gammu 1.26.1"
"http://cihar.com/gammu/phonedb/nokia/3210/","Nokia","2630","jan iver clausen","Thu, 17 Sep 2009 13:15:12 +0200","bluephonet","sms,calendar,call","Gammu 1.24.0"
"http://cihar.com/gammu/phonedb/nokia/3209/","Nokia","n85","Vita","Thu, 17 Sep 2009 12:14:45 +0200","","","Gammu 1.08.00"
"http://cihar.com/gammu/phonedb/sony-ericsson/3208/","Sony Ericsson","S500i/S500c","Christian Schneider","Thu, 17 Sep 2009 01:43:11 +0200","blueat","info,sms,phonebook,enhancedphonebook,calendar,todo,call,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/samsung/3207/","Samsung","SGH-U900","","Wed, 16 Sep 2009 19:38:38 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3206/","Nokia","3110 classic","kees van den Ham","Tue, 15 Sep 2009 21:56:46 +0200","at115200","info,sms",""
"http://cihar.com/gammu/phonedb/nokia/3205/","Nokia","6555","Luboš","Tue, 15 Sep 2009 10:30:40 +0200","","","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3204/","Sony Ericsson","K750","","Tue, 15 Sep 2009 00:09:30 +0200","fbus","sms","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/nokia/3203/","Nokia","6300","Dariusz","Mon, 14 Sep 2009 21:32:31 +0200","bluephonet","info,sms,phonebook,enhancedphonebook,calendar,todo,call,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3202/","Sony Ericsson","W910i","","Sun, 13 Sep 2009 20:26:28 +0200","blueat","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/htc/3201/","HTC","MTK2","VPI","Sun, 13 Sep 2009 17:54:58 +0200","blueat","sms,phonebook","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/nokia/3200/","Nokia","6300","Falco2","Sun, 13 Sep 2009 14:26:42 +0200","bluephonet","sms,phonebook,call","Gammu 1.20.0"
"http://cihar.com/gammu/phonedb/sony-ericsson/3199/","Sony Ericsson","W810i/W810c","Konstantin","Sun, 13 Sep 2009 04:58:24 +0200","at19200","info","Gammu 1.20.0"
"http://cihar.com/gammu/phonedb/sony-ericsson/3198/","Sony Ericsson","AAD-3252041-BV   (W760i)","Peter Hübner","Sat, 12 Sep 2009 22:29:37 +0200","bluerfat","info,sms,phonebook,enhancedphonebook,calendar,todo,mms","Gammu 1.16.0"
"http://cihar.com/gammu/phonedb/sony-ericsson/3197/","Sony Ericsson","P800","Costa Tsaousis","Sat, 12 Sep 2009 01:00:05 +0200","blueat","info","Gammu 1.26.1"
"http://cihar.com/gammu/phonedb/samsung/3196/","Samsung","SGH-E950","pascal","Sat, 12 Sep 2009 00:26:52 +0200","blueat","info","Gammu 1.15.0"
"http://cihar.com/gammu/phonedb/option/3195/","Option","GTM378","Nico","Fri, 11 Sep 2009 23:07:17 +0200","at115200","sms","Gammu 0.29"
"http://cihar.com/gammu/phonedb/nokia/3194/","Nokia","6310i","neunhoeffer","Fri, 11 Sep 2009 22:30:28 +0200","bluerfphonet","info,sms,phonebook,calendar,todo","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3193/","Nokia","2323","David","Fri, 11 Sep 2009 21:17:08 +0200","bluephonet","info,sms,phonebook,calendar,todo","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3192/","Sony Ericsson","K810i","Teague Hall","Thu, 10 Sep 2009 19:57:13 +0200","at","info,sms,phonebook,enhancedphonebook,calendar,todo,call,mms","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/sony-ericsson/3191/","Sony Ericsson","AAD-3052051-BV","Zoran Milosavljevic","Thu, 10 Sep 2009 12:00:36 +0200","blueat","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.15.0"
"http://cihar.com/gammu/phonedb/lg/3190/","LG","tu550","berry","Thu, 10 Sep 2009 10:54:42 +0200","at","sms","Gammu 1.21.0"
"http://cihar.com/gammu/phonedb/lg/3189/","LG","tu550","Dave","Thu, 10 Sep 2009 10:29:06 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3188/","Nokia","e71","tr","Wed, 09 Sep 2009 20:48:14 +0200","at","info","Gammu 1.25.0"
"http://cihar.com/gammu/phonedb/sciphone/3187/","SciPhone","Mini phone 009","quentin","Wed, 09 Sep 2009 20:41:40 +0200","blueat","info,sms,phonebook,call,logo","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3186/","Nokia","6300","luca","Wed, 09 Sep 2009 12:12:32 +0200","bluerfphonet","info,sms,phonebook,call","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3185/","Nokia","6280","Drago","Tue, 08 Sep 2009 22:31:58 +0200","","",""
"http://cihar.com/gammu/phonedb/huawei/3184/","Huawei","MF627","Tim Wright","Tue, 08 Sep 2009 19:13:00 +0200","at19200","info,sms,phonebook","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3183/","Nokia","6021","","Tue, 08 Sep 2009 14:07:07 +0200","bluephonet","info,phonebook,enhancedphonebook,calendar","Gammu 1.23.1"
"http://cihar.com/gammu/phonedb/nokia/3182/","Nokia","5130 XpressMusic","Adrián Ruiz","Mon, 07 Sep 2009 04:54:24 +0200","at","info,call","Gammu 155282957"
"http://cihar.com/gammu/phonedb/sony-ericsson/3181/","Sony Ericsson","W850i","Michele Bertuccioli","Sun, 06 Sep 2009 15:25:51 +0200","at19200","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms",""
"http://cihar.com/gammu/phonedb/sony-ericsson/3180/","Sony Ericsson","W850i","Michele Bertuccioli","Sun, 06 Sep 2009 15:10:04 +0200","at19200","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms","Gammu 1.26.0"
"http://cihar.com/gammu/phonedb/sciphone/3179/","SciPhone","i68+","","Sun, 06 Sep 2009 14:44:18 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3178/","Nokia","N78","Kirsten","Sat, 05 Sep 2009 19:29:56 +0200","","",""
"http://cihar.com/gammu/phonedb/sagem/3177/","Sagem","myX5","Massimo","Sat, 05 Sep 2009 18:38:13 +0200","at115200","info,sms,phonebook,call","Gammu 1.25"
"http://cihar.com/gammu/phonedb/huawei/3176/","Huawei","E176G","Zmudek","Sat, 05 Sep 2009 16:15:30 +0200","at115200","info,sms,phonebook","Gammu 1.21.1"
"http://cihar.com/gammu/phonedb/sagem/3175/","Sagem","my210x","Massimo","Sat, 05 Sep 2009 11:48:58 +0200","at115200","info,sms,phonebook,call","Gammu 1.25"
"http://cihar.com/gammu/phonedb/motorola/3174/","Motorola","K1","","Fri, 04 Sep 2009 19:15:26 +0200","","",""
"http://cihar.com/gammu/phonedb/nokia/3173/","Nokia","6300","chandu","Fri, 04 Sep 2009 19:03:59 +0200","at19200","info,phonebook","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/samsung/3172/","Samsung","SGH-C300","","Fri, 04 Sep 2009 14:53:10 +0200","at19200","info,phonebook","Gammu 1.25.0"
"http://cihar.com/gammu/phonedb/sony-ericsson/3171/","Sony Ericsson","W880i","","Fri, 04 Sep 2009 14:13:34 +0200","","",""
"http://cihar.com/gammu/phonedb/sciphone/3170/","SciPhone","i68+","RP","Fri, 04 Sep 2009 11:38:41 +0200","blueat","info,sms,phonebook,filesystem","Gammu 1.20.0"
"http://cihar.com/gammu/phonedb/sony-ericsson/3169/","Sony Ericsson","W890i","ZyTaro","Fri, 04 Sep 2009 07:49:21 +0200","blueat","info,sms,phonebook,enhancedphonebook,calendar,todo,call","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3168/","Nokia","6230i","Michael Edem Donkor","Thu, 03 Sep 2009 23:22:40 +0200","bluephonet","info,phonebook,enhancedphonebook,calendar,todo","Gammu 1.25.0"
"http://cihar.com/gammu/phonedb/sony-ericsson/3167/","Sony Ericsson","C905","Steinmann Markus","Thu, 03 Sep 2009 19:42:53 +0200","at19200","info,phonebook,enhancedphonebook","Gammu 1.22.1"
"http://cihar.com/gammu/phonedb/nokia/3166/","Nokia","2760","tobilin","Thu, 03 Sep 2009 19:26:32 +0200","","",""
"http://cihar.com/gammu/phonedb/sony-ericsson/3165/","Sony Ericsson","W890i","Jens Brejner","Thu, 03 Sep 2009 15:30:27 +0200","blueat","info,sms,phonebook","Gammu 1.25.0"
"http://cihar.com/gammu/phonedb/sagem/3164/","Sagem","vs1","richard w","Thu, 03 Sep 2009 08:11:34 +0200","","",""
"http://cihar.com/gammu/phonedb/lg/3163/","LG","KU990i","wetelectric","Wed, 02 Sep 2009 23:10:43 +0200","at","info","Gammu 1.20.0"
"http://cihar.com/gammu/phonedb/sagem/3162/","Sagem","VF527 (Vodafone 527)","","Wed, 02 Sep 2009 20:06:08 +0200","bluephonet","info,sms,phonebook,enhancedphonebook,calendar,todo,filesystem,call,logo,ringtone,mms",""
"http://cihar.com/gammu/phonedb/sony-ericsson/3161/","Sony Ericsson","K800i","Rafa","Wed, 02 Sep 2009 18:52:22 +0200","at19200","info,sms,phonebook,calendar,todo,call","Gammu 1.24.0"
"http://cihar.com/gammu/phonedb/nokia/3160/","Nokia","3120c","Marcelo","Wed, 02 Sep 2009 04:19:12 +0200","","","Gammu 1.20.0-3.42-i586"
"http://cihar.com/gammu/phonedb/sony-ericsson/3159/","Sony Ericsson","K800i","root","Tue, 01 Sep 2009 21:34:25 +0200","at","info,calendar","Gammu 1.20.0"
"http://cihar.com/gammu/phonedb/samsung/3158/","Samsung","E250","","Tue, 01 Sep 2009 20:10:07 +0200","","",""
